Country,Fertility,GPD per capita
Gaza Strip,3.54,"6.220"
Iraq,3.32,"10.881"
Yemen,3.10,"2.500"
West Bank,3.02,"6.220"
Jordan,3.00,"10.071"
Syria,2.85,"2.900"
Oman,2.73,"27.299"
Israel,2.57,"40.145"
Kyrgyzstan,2.52,"5.253"
Tajikistan,2.48,"3.380"
Kuwait,2.25,"49.854"
Kazakhstan,2.13,"26.351"
Turkmenistan,2.04,"14.845"
Saudi Arabia,1.95,"46.962"
Turkey,1.94,"28.424"
Iran,1.93,"12.389"
Qatar,1.90,"90.044"
Azerbaijan,1.87,"14.404"
Georgia,1.75,"14.992"
Uzbekistan,1.73,"6.999"
Lebanon,1.71,"14.552"
Bahrain,1.68,"45.011"
United Arab Emirates,1.65,"67.119"
Armenia,1.65,"13.654"
Russia,1.60,"27.044"
